date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:42:58	60990/60990	---MCZ	200	added ('OK')	text/html	etag:W/%2259419134-ee3e%22	http://jthemes.org/demo-admin/cubic/cubic-html/index.html	F:/4th%20Year/Intern/TempAdmin/http___jthemes.org_demo-admin_cubic_cubic-html_index.html/jthemes.org/demo-admin/cubic/cubic-html/index.html	(from )
13:42:59	50/50	---MCZ	200	added ('OK')	text/plain	date:Tue,%2028%20Jun%202022%2008:12:59%20GMT	http://jthemes.org/robots.txt		(from )
13:43:01	121200/121200	---MCZ	200	added ('OK')	text/css	etag:W/%2257967c48-1d970%22	http://jthemes.org/demo-admin/cubic/cubic-html/bootstrap/dist/css/bootstrap.min.css	F:/4th%20Year/Intern/TempAdmin/http___jthemes.org_demo-admin_cubic_cubic-html_index.html/jthemes.org/demo-admin/cubic/cubic-html/bootstrap/dist/css/bootstrap.min.css	(from http://jthemes.org/demo-admin/cubic/cubic-html/index.html)
13:43:01	10878/10878	---MCZ	200	added ('OK')	text/css	etag:W/%225707526c-2a7e%22	http://jthemes.org/demo-admin/cubic/plugins/components/chartist-js/dist/chartist.min.css	F:/4th%20Year/Intern/TempAdmin/http___jthemes.org_demo-admin_cubic_cubic-html_index.html/jthemes.org/demo-admin/cubic/plugins/components/chartist-js/dist/chartist.min.css	(from http://jthemes.org/demo-admin/cubic/cubic-html/index.html)
13:43:01	795/795	---MCZ	200	added ('OK')	text/css	etag:W/%225898db26-31b%22	http://jthemes.org/demo-admin/cubic/plugins/components/chartist-plugin-tooltip-master/dist/chartist-plugin-tooltip.css	F:/4th%20Year/Intern/TempAdmin/http___jthemes.org_demo-admin_cubic_cubic-html_index.html/jthemes.org/demo-admin/cubic/plugins/components/chartist-plugin-tooltip-master/dist/chartist-plugin-tooltip.css	(from http://jthemes.org/demo-admin/cubic/cubic-html/index.html)
13:43:02	56455/56455	---MCZ	200	added ('OK')	text/css	etag:W/%2257d97782-dc87%22	http://jthemes.org/demo-admin/cubic/cubic-html/css/animate.css	F:/4th%20Year/Intern/TempAdmin/http___jthemes.org_demo-admin_cubic_cubic-html_index.html/jthemes.org/demo-admin/cubic/cubic-html/css/animate.css	(from http://jthemes.org/demo-admin/cubic/cubic-html/index.html)
13:43:04	214428/214428	---MCZ	200	added ('OK')	text/css	etag:W/%225972716a-3459c%22	http://jthemes.org/demo-admin/cubic/cubic-html/css/style.css	F:/4th%20Year/Intern/TempAdmin/http___jthemes.org_demo-admin_cubic_cubic-html_index.html/jthemes.org/demo-admin/cubic/cubic-html/css/style.css	(from http://jthemes.org/demo-admin/cubic/cubic-html/index.html)
13:43:04	1601/1601	---MCZ	200	added ('OK')	text/css	etag:W/%22592373f2-641%22	http://jthemes.org/demo-admin/cubic/cubic-html/css/colors/default.css	F:/4th%20Year/Intern/TempAdmin/http___jthemes.org_demo-admin_cubic_cubic-html_index.html/jthemes.org/demo-admin/cubic/cubic-html/css/colors/default.css	(from http://jthemes.org/demo-admin/cubic/cubic-html/index.html)
13:43:04	1914/1914	---M--	200	added ('OK')	image/png	etag:%2258f54ca6-77a%22	http://jthemes.org/demo-admin/cubic/plugins/images/logo.png	F:/4th%20Year/Intern/TempAdmin/http___jthemes.org_demo-admin_cubic_cubic-html_index.html/jthemes.org/demo-admin/cubic/plugins/images/logo.png	(from http://jthemes.org/demo-admin/cubic/cubic-html/index.html)
13:43:04	1716/1716	---M--	200	added ('OK')	image/png	etag:%2258ff86ce-6b4%22	http://jthemes.org/demo-admin/cubic/plugins/images/logo-text.png	F:/4th%20Year/Intern/TempAdmin/http___jthemes.org_demo-admin_cubic_cubic-html_index.html/jthemes.org/demo-admin/cubic/plugins/images/logo-text.png	(from http://jthemes.org/demo-admin/cubic/cubic-html/index.html)
